  0.005000  0.000000 -0.000000 -0.000000
  0.010000  0.000000 -0.000000 -0.000000
  0.015000  0.000000 -0.000000 -0.000000
  0.020000  0.000000 -0.000000 -0.000000
  0.025000  0.000000 -0.000000 -0.000000
  0.030000  0.000000 -0.000000 -0.000000
  0.035000  0.000000 -0.000000 -0.000000
  0.040000  0.000000 -0.000000 -0.000000
  0.045000  0.000000 -0.000000 -0.000000
  0.050000  0.000000 -0.000000 -0.000000
  0.055000  0.000000 -0.000000 -0.000000
  0.060000  0.000000 -0.000000 -0.000000
  0.065000  0.000000 -0.000000 -0.000000
  0.070000  0.000000 -0.000000 -0.000000
  0.075000  0.000000 -0.000000 -0.000000
  0.080000  0.000000 -0.000000 -0.000000
  0.085000  0.000000 -0.000000 -0.000000
  0.090000  0.000000 -0.000000 -0.000000
  0.095000  0.000000 -0.000000 -0.000000
  0.100000  0.000000 -0.000000 -0.000000
  0.105000  0.000000 -0.000000 -0.000000
  0.110000  0.000000 -0.000000 -0.000000
  0.115000  0.000000 -0.000000 -0.000000
  0.120000  0.000000 -0.000000 -0.000000
  0.125000  0.000000 -0.000000 -0.000000
  0.130000  0.000000 -0.000000 -0.000000
  0.135000  0.000000  0.000000  0.000000
  0.140000  0.000001 -0.000001 -0.000001
  0.145000  0.000012  0.000009  0.000009
  0.150000 -0.000009 -0.000167 -0.000167
  0.155000  0.000147  0.000294  0.000294
  0.160000  0.000818  0.002330  0.002330
  0.165000  0.002245  0.006509  0.006509
  0.170000  0.004981  0.014759  0.014759
  0.175000  0.009584  0.028640  0.028640
  0.180000  0.016463  0.049365  0.049365
  0.185000  0.026066  0.078360  0.078360
  0.190000  0.038813  0.116928  0.116928
  0.195000  0.055149  0.166537  0.166537
  0.200000  0.075522  0.228626  0.228626
  0.205000  0.100052  0.303440  0.303440
  0.210000  0.127984  0.388317  0.388317
  0.215000  0.157825  0.478755  0.478755
  0.220000  0.188001  0.570391  0.570391
  0.225000  0.217138  0.659232  0.659232
  0.230000  0.243988  0.741258  0.741258
  0.235000  0.267295  0.812296  0.812296
  0.240000  0.285706  0.868114  0.868114
  0.245000  0.297813  0.904519  0.904519
  0.250000  0.302227  0.917341  0.917341
  0.255000  0.298096  0.904194  0.904194
  0.260000  0.285880  0.866930  0.866930
  0.265000  0.267117  0.810173  0.810173
  0.270000  0.243458  0.738394  0.738394
  0.275000  0.216278  0.655575  0.655575
  0.280000  0.186790  0.565734  0.565734
  0.285000  0.156244  0.473072  0.473072
  0.290000  0.126023  0.381858  0.381858
  0.295000  0.097588  0.296269  0.296269
  0.300000  0.072369  0.220441  0.220441
  0.305000  0.051410  0.157352  0.157352
  0.310000  0.034869  0.107208  0.107208
  0.315000  0.022193  0.068370  0.068370
  0.320000  0.012750  0.039266  0.039266
  0.325000  0.006076  0.018610  0.018610
  0.330000  0.001786  0.005101  0.005101
  0.335000 -0.000545 -0.002673 -0.002673
  0.340000 -0.001435 -0.006154 -0.006154
  0.345000 -0.001453 -0.006720 -0.006720
  0.350000 -0.001141 -0.005719 -0.005719
  0.355000 -0.000918 -0.004238 -0.004238
  0.360000 -0.000960 -0.002714 -0.002714
  0.365000 -0.001261 -0.001139 -0.001139
  0.370000 -0.001783  0.000490  0.000490
  0.375000 -0.002511  0.002118  0.002118
  0.380000 -0.003423  0.003691  0.003691
  0.385000 -0.004467  0.005162  0.005162
  0.390000 -0.005562  0.006484  0.006484
  0.395000 -0.006619  0.007597  0.007597
  0.400000 -0.007558  0.008446  0.008446
  0.405000 -0.008316  0.008994  0.008994
  0.410000 -0.008841  0.009227  0.009227
  0.415000 -0.009094  0.009141  0.009141
  0.420000 -0.009058  0.008740  0.008740
  0.425000 -0.008738  0.008042  0.008042
  0.430000 -0.008167  0.007091  0.007091
  0.435000 -0.007393  0.005948  0.005948
  0.440000 -0.006469  0.004682  0.004682
  0.445000 -0.005443  0.003352  0.003352
  0.450000 -0.004361  0.002002  0.002002
  0.455000 -0.003273  0.000670  0.000670
  0.460000 -0.002228 -0.000605 -0.000605
  0.465000 -0.001270 -0.001776 -0.001776
  0.470000 -0.000425 -0.002801 -0.002801
  0.475000  0.000301 -0.003651 -0.003651
  0.480000  0.000916 -0.004319 -0.004319
  0.485000  0.001435 -0.004814 -0.004814
  0.490000  0.001870 -0.005146 -0.005146
  0.495000  0.002229 -0.005313 -0.005313
  0.500000  0.002523 -0.005301 -0.005301
  0.505000  0.002773 -0.005092 -0.005092
  0.510000  0.003007 -0.004677 -0.004677
  0.515000  0.003250 -0.004069 -0.004069
  0.520000  0.003514 -0.003298 -0.003298
  0.525000  0.003797 -0.002405 -0.002405
  0.530000  0.004088 -0.001431 -0.001431
  0.535000  0.004381 -0.000417 -0.000417
  0.540000  0.004680  0.000590  0.000590
  0.545000  0.004986  0.001533  0.001533
  0.550000  0.005295  0.002342  0.002342
  0.555000  0.005583  0.002946  0.002946
  0.560000  0.005819  0.003289  0.003289
  0.565000  0.005976  0.003333  0.003333
  0.570000  0.006044  0.003069  0.003069
  0.575000  0.006026  0.002507  0.002507
  0.580000  0.005927  0.001677  0.001677
  0.585000  0.005743  0.000623  0.000623
  0.590000  0.005462 -0.000592 -0.000592
  0.595000  0.005076 -0.001898 -0.001898
  0.600000  0.004590 -0.003223 -0.003223
  0.605000  0.004032 -0.004500 -0.004500
  0.610000  0.003436 -0.005673 -0.005673
  0.615000  0.002831 -0.006694 -0.006694
  0.620000  0.002231 -0.007528 -0.007528
  0.625000  0.001648 -0.008149 -0.008149
  0.630000  0.001091 -0.008549 -0.008549
